title,genres,keywords,spoken_languages,overview,production_countries
Green Lantern,"Adventure, Action, Thriller, Science Fiction","dc comics, transformation, superhero, alien, alien infection, magical object, protector, super powers, origin, 3d",English,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new ",United States of America
Toy Story 3,"Animation, Family, Comedy","hostage, college, toy, barbie, animation, escape, day care, teddy bear, duringcreditsstinger, toy comes to life, personification, inanimate objects coming to life, toy story","English, Español","Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must b",United States of America
Terminator Salvation,"Action, Science Fiction, Thriller","saving the world, artificial intelligence, prophecy, san francisco, cyborg, killer robot, gas station, post-apocalyptic, dystopia, army, firearm, wartime, los angeles","English, Italiano","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses th","Germany, Italy, United Kingdom, United States of America"
Furious 7,Action,"car race, speed, revenge, suspense, car, race, muscle car",English,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"Japan, United States of America"
World War Z,"Action, Drama, Horror, Science Fiction, Thriller","dystopia, apocalypse, zombie, nuclear weapons, multiple perspectives, zombie apocalypse",English,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zo","United States of America, Malta"
X-Men: Days of Future Past,"Action, Adventure, Fantasy, Science Fiction","1970s, mutant, time travel, marvel comic, based on comic book, superhuman, storm, beast, aftercreditsstinger, changing the past or future",English,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our,"United Kingdom, United States of America"
Star Trek Into Darkness,"Action, Adventure, Science Fiction","spacecraft, friendship, sequel, futuristic, space, alien, imax, space opera, terrorist bombing, 3d",English,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world",United States of America
Jack the Giant Slayer,"Action, Family, Fantasy","based on fairy tale, giant",English,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries,",United States of America
The Great Gatsby,"Drama, Romance","based on novel, infidelity, obsession, hope, 3d",English,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see throu","United States of America, Australia"
Prince of Persia: The Sands of Time,"Adventure, Fantasy, Action, Romance","persia, sandstorm, brother against brother, armageddon, regent, based on video game",English,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the god",United States of America
Pacific Rim,"Action, Science Fiction, Adventure","dystopia, giant robot, giant monster, apocalypse, imax, duringcreditsstinger, 3d",English,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant K","United States of America, Canada"
Transformers: Dark of the Moon,"Action, Science Fiction, Adventure","moon, spacecraft, traitor, bodyguard, alien planet, based on cartoon, transformers, giant robot, sabotage, word domination, commando, duringcreditsstinger",English,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, s",United States of America
Indiana Jones and the Kingdom of the Crystal Skull,"Adventure, Action","saving the world, riddle, whip, treasure, mexico city, leather jacket, machinegun, alien phenomenons, maya civilization, peru, treasure hunt, nuclear explosion, refrigerator, archaeologist, indiana jones, archeology ","English, Deutsch, Pусский","Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured",United States of America
The Good Dinosaur,"Adventure, Animation, Family","tyrannosaurus rex, friends, alternate history, dinosaur, fear, storm, nature, human, journey",English,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,United States of America
Brave,"Animation, Adventure, Comedy, Family, Action, Fantasy","scotland, rebel, bravery, kingdom, archer, wish, bear, scot, rebellious daughter, turns into animal, archery, ruins, aftercreditsstinger, peace offering, woman director, courage, 3d",English,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a",United States of America
Star Trek Beyond,"Action, Adventure, Science Fiction","sequel, stranded, hatred, space opera",English,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",United States of America
WALL·E,"Animation, Family",romantic comedy,English,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed som",United States of America
Rush Hour 3,"Action, Comedy, Crime, Thriller",ambassador,"Latin, English, Français, 日本語, 普通话","After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. ",United States of America
2012,"Action, Adventure, Science Fiction","civilization, natural disaster, end of the world, disaster, apocalypse, destruction, volcanic eruption, mayan, ark, solar, destruction  of mankind","English, Français, हिन्दी, Italiano, Latin, 普通话, Português, Pусский, ","Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. ","Canada, United States of America"
A Christmas Carol,"Animation, Drama","holiday, based on novel, victorian england, money, christmas eve, scrooge, christmas carol, ghost, lesson, charles dickens, christmas",English,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that a",United States of America
Jupiter Ascending,"Science Fiction, Fantasy, Action, Adventure","jupiter, space, woman director, 3d, interspecies romance",English,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",United States of America
The Legend of Tarzan,"Action, Adventure","africa, feral child, tarzan, jungle, animal attack",English,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","Canada, United Kingdom, United States of America"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy","saving the world, witch, based on novel, brother sister relationship, self sacrifice, winter, cupboard, beaver, lion, fairy-tale figure, battle, narnia, fantasy world, duringcreditsstinger","English, Deutsch","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter","United Kingdom, United States of America"
X-Men: Apocalypse,Science Fiction,"mutant, supernatural powers, marvel comic, superhero, based on comic book, superhuman, apocalypse, superhero team, world domination, aftercreditsstinger, 1980s",English,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",United States of America
The Dark Knight,"Drama, Action, Crime, Thriller","dc comics, crime fighter, secret identity, scarecrow, sadism, chaos, gotham city, vigilante, joker, superhero, based on comic book, tragic hero, organized crime, criminal mastermind, district attorney, imax, super villain, super powers, batman","English, 普通话","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the stree","United Kingdom, United States of America"
Up,"Animation, Comedy, Family, Adventure","age difference, central and south america, balloon, animation, floating in the air, duringcreditsstinger, exploring",English,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-",United States of America
Monsters vs Aliens,"Animation, Family, Adventure, Science Fiction","alien, giant robot, duringcreditsstinger",English,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secr",United States of America
Iron Man,"Action, Science Fiction, Adventure","middle east, arms dealer, malibu, marvel comic, superhero, based on comic book, tony stark, iron man, aftercreditsstinger, marvel cinematic universe, counter terrorism, agent coulson","English, فارسی, اردو, العربية","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",United States of America
Hugo,"Adventure, Drama, Family","library, clock, film director, key, toy, boy, love, orphan, robot, automaton, hiding, filmmaking, leg brace, doberman, 3d",English,Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks ,"France, United States of America, United Kingdom"
Wild Wild West,"Action, Adventure, Comedy, Science Fiction, Western","steampunk, based on tv series, steam locomotive, drag",English,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and invento,United States of America
The Mummy: Tomb of the Dragon Emperor,"Adventure, Action, Fantasy",,"English, 普通话, ","Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Conn","Germany, United States of America"
Suicide Squad,"Action, Adventure, Crime, Fantasy, Science Fiction","dc comics, shared universe, anti hero, secret mission, villain, superhero, supervillain, dc extended universe",English,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange",United States of America
Evan Almighty,"Fantasy, Comedy, Family","father son relationship, daily life, married couple, support, father, marriage, faith, baustelle, rescue, animal, nature, duringcreditsstinger, noah's ark",English,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,United States of America
Edge of Tomorrow,"Action, Science Fiction","deja vu, time warp, restart, dystopia, war, alien, military officer, soldier, alien invasion, exoskeleton",English,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with hi","Australia, United States of America"
Waterworld,"Adventure, Action","ocean, tattoo, mutant, water, dystopia, doomsday","English, Deutsch, Español","In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her youn",United States of America
G.I. Joe: The Rise of Cobra,"Adventure, Action, Thriller, Science Fiction","terrorist, secret, hostage, technology, warhead, government, president, revenge, murder, attack, explosion, scientist, lasers, evil, cobra","English, Français, ","From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing","Czech Republic, United States of America"
Inside Out,"Drama, Comedy, Animation, Family","dream, cartoon, imaginary friend, animation, family, moving, kids, unicorn, duringcreditsstinger, 3d, emotions",English,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotion",United States of America
The Jungle Book,"Family, Adventure, Drama, Fantasy","based on novel, snake, wolf, elephant, tiger, feral child, panther, remake, bear, jungle, talking animal, orphan, animal, talking to animals",English,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.","United Kingdom, United States of America"
Iron Man 2,"Adventure, Action, Science Fiction","malibu, marvel comic, superhero, based on comic book, revenge, aftercreditsstinger, marvel cinematic universe","English, Pусский, Français","With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with t",United States of America
Snow White and the Huntsman,"Adventure, Fantasy, Drama","queen, magic, fairy tale, immortality, forest, deception, woman, eternal youth, snow white, evil queen, evil stepmother, imprisoned, sorceress",English,"After the Evil Queen marries the King, she performs a violent coup in which the King is murdered and his daughter, Snow White, is taken captive. Almost a decade later, a grown Snow White is still in t",United States of America
Maleficent,"Fantasy, Adventure, Action, Family, Romance","fairy tale, villain, sleeping beauty, dark fantasy, based on fairy tale, adaptation, retelling, literary adaptation, 3d",English,"The untold story of Disney's most iconic villain from the 1959 classic 'Sleeping Beauty'. A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom",United States of America
Dawn of the Planet of the Apes,"Science Fiction, Action, Drama, Thriller","leader, colony, post-apocalyptic, dystopia, forest, sequel, woods, ape, scientist, monkey, medical research, animal attack, plague, 3d",English,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",United States of America
The Lovers,"Action, Adventure, Science Fiction, Romance",,English,"The Lovers is an epic romance time travel adventure film. Helmed by Roland Joffé from a story by Ajey Jhankar, the film is a sweeping tale of an impossible love set against the backdrop of the first A","Australia, Belgium, India"
47 Ronin,"Drama, Action, Adventure, Fantasy","japan, suicide, samurai, based on true story, samurai sword, ronin, shogun, half breed, 3d","English, 日本語","Based on the original 1941 movie from Japan, and from ancient Japan’s most enduring tale, the epic 3D fantasy-adventure 47 Ronin is born.  Keanu Reeves leads the cast as Kai, an outcast who joins Oish",United States of America
Captain America: The Winter Soldier,"Action, Adventure, Science Fiction","washington d.c., future, shield, marvel comic, superhero, based on comic book, captain america, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d, political thriller",English,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. co",United States of America
Shrek Forever After,"Comedy, Adventure, Fantasy, Animation, Family","ogre, 3d",English,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstilts",United States of America
Tomorrowland,"Adventure, Family, Mystery, Science Fiction","inventor, apocalypse, destiny, imax, dreamer, futuristic car, futuristic city",English,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secre",United States of America
Big Hero 6,"Adventure, Family, Animation, Action, Comedy","brother brother relationship, hero, talent, revenge, best friend, another dimension, robot, boy genius, hate, aftercreditsstinger, moral dilemma, 3d, teen superheroes, dead brother",English,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",United States of America
