title,genres,keywords,original_language,production_countries,spoken_languages
Battleship,"Thriller, Action, Adventure, Science Fiction","fight, u.s. navy, mind reading, hong kong, soccer, scientist, fictional war, naval, armada, battleship, naval combat, jds myoko, lost communication, taser, buoy, communications expert, joint chiefs of staff, crash landing, jet fighter pilot, navy lieutenant, permission to marry, uss john paul jones, based on board game, aftercreditsstinger, mighty mo, uss missouri",en,United States of America,English
Jurassic World,"Action, Adventure, Science Fiction, Thriller","monster, dna, tyrannosaurus rex, velociraptor, island, sequel, suspense, disaster, escape, dinosaur, amusement park, animal attack, theme park, jurassic park, 3d, animal horror",en,United States of America,English
Skyfall,"Action, Adventure, Thriller","spy, secret agent, sociopath, killer, art gallery, british secret service, istanbul turkey, imax, uzi, booby trap, impersonating a police officer, macao",en,"United Kingdom, United States of America",English
Spider-Man 2,"Action, Adventure, Fantasy",,en,United States of America,English
Iron Man 3,"Action, Adventure, Science Fiction","terrorist, war on terror, tennessee, malibu, marvel comic, superhero, based on comic book, tony stark, iron man, aftercreditsstinger, marvel cinematic universe, mandarin, 3d, war machine, iron patriot, extremis",en,"China, United States of America",English
Alice in Wonderland,"Family, Fantasy, Adventure","based on novel, fictional place, queen, fantasy, alice in wonderland, fantasy world, 3d",en,United States of America,English
X-Men: The Last Stand,"Adventure, Action, Science Fiction, Thriller","mutant, marvel comic, based on comic book, superhuman, beast, cyclops, aftercreditsstinger",en,"Canada, United Kingdom, United States of America",English
Monsters University,"Animation, Family","monster, dormitory, games, animation, best friend, university, scary, aftercreditsstinger",en,United States of America,English
Transformers: Revenge of the Fallen,"Science Fiction, Action, Adventure","egypt, sun, chaos, symbol, artifact, transformers, tank, robot, imax, duringcreditsstinger",en,United States of America,"English, Spanish"
Transformers: Age of Extinction,"Science Fiction, Action, Adventure","sequel, alien, transformers, giant robot, robot, imax, transforming robot",en,United States of America,English
Oz: The Great and Powerful,"Fantasy, Adventure, Family","circus, witch, magic, hope, illusion, lost, magic trick, wizard, 3d",en,United States of America,English
The Amazing Spider-Man 2,"Action, Adventure, Fantasy","obsession, marvel comic, sequel, based on comic book, electrocution, medical experiment, electricity, super powers",en,United States of America,English
TRON: Legacy,"Adventure, Action, Science Fiction","artificial intelligence, secret identity, computer program, dystopia, computer, deception, duel, motorcycle, neon light, autocracy",en,United States of America,English
Cars 2,"Animation, Family, Adventure, Comedy","car race, sequel, comedy, anthropomorphism, best friend, duringcreditsstinger",en,United States of America,"English, Italiano, French"
Green Lantern,"Adventure, Action, Thriller, Science Fiction","dc comics, transformation, superhero, alien, alien infection, magical object, protector, super powers, origin, 3d",en,United States of America,English
Toy Story 3,"Animation, Family, Comedy","hostage, college, toy, barbie, animation, escape, day care, teddy bear, duringcreditsstinger, toy comes to life, personification, inanimate objects coming to life, toy story",en,United States of America,"English, Spanish"
Terminator Salvation,"Action, Science Fiction, Thriller","saving the world, artificial intelligence, prophecy, san francisco, cyborg, killer robot, gas station, post-apocalyptic, dystopia, army, firearm, wartime, los angeles",en,"Germany, Italy, United Kingdom, United States of America","English, Italiano"
Furious 7,Action,"car race, speed, revenge, suspense, car, race, muscle car",en,"Japan, United States of America",English
World War Z,"Action, Drama, Horror, Science Fiction, Thriller","dystopia, apocalypse, zombie, nuclear weapons, multiple perspectives, zombie apocalypse",en,"United States of America, Malta",English
X-Men: Days of Future Past,"Action, Adventure, Fantasy, Science Fiction","1970s, mutant, time travel, marvel comic, based on comic book, superhuman, storm, beast, aftercreditsstinger, changing the past or future",en,"United Kingdom, United States of America",English
Star Trek Into Darkness,"Action, Adventure, Science Fiction","spacecraft, friendship, sequel, futuristic, space, alien, imax, space opera, terrorist bombing, 3d",en,United States of America,English
Jack the Giant Slayer,"Action, Family, Fantasy","based on fairy tale, giant",en,United States of America,English
The Great Gatsby,"Drama, Romance","based on novel, infidelity, obsession, hope, 3d",en,"United States of America, Australia",English
Prince of Persia: The Sands of Time,"Adventure, Fantasy, Action, Romance","persia, sandstorm, brother against brother, armageddon, regent, based on video game",en,United States of America,English
Pacific Rim,"Action, Science Fiction, Adventure","dystopia, giant robot, giant monster, apocalypse, imax, duringcreditsstinger, 3d",en,"United States of America, Canada",English
Transformers: Dark of the Moon,"Action, Science Fiction, Adventure","moon, spacecraft, traitor, bodyguard, alien planet, based on cartoon, transformers, giant robot, sabotage, word domination, commando, duringcreditsstinger",en,United States of America,English
Indiana Jones and the Kingdom of the Crystal Skull,"Adventure, Action","saving the world, riddle, whip, treasure, mexico city, leather jacket, machinegun, alien phenomenons, maya civilization, peru, treasure hunt, nuclear explosion, refrigerator, archaeologist, indiana jones, archeology",en,United States of America,"English, German"
The Good Dinosaur,"Adventure, Animation, Family","tyrannosaurus rex, friends, alternate history, dinosaur, fear, storm, nature, human, journey",en,United States of America,English
Brave,"Animation, Adventure, Comedy, Family, Action, Fantasy","scotland, rebel, bravery, kingdom, archer, wish, bear, scot, rebellious daughter, turns into animal, archery, ruins, aftercreditsstinger, peace offering, woman director, courage, 3d",en,United States of America,English
Star Trek Beyond,"Action, Adventure, Science Fiction","sequel, stranded, hatred, space opera",en,United States of America,English
WALL·E,"Animation, Family",romantic comedy,en,United States of America,English
Rush Hour 3,"Action, Comedy, Crime, Thriller",ambassador,en,United States of America,"Latin, English, French"
2012,"Action, Adventure, Science Fiction","civilization, natural disaster, end of the world, disaster, apocalypse, destruction, volcanic eruption, mayan, ark, solar, destruction of mankind",en,"Canada, United States of America","English, French, Italiano, Latin, Portugues"
A Christmas Carol,"Animation, Drama","holiday, based on novel, victorian england, money, christmas eve, scrooge, christmas carol, ghost, lesson, charles dickens, christmas",en,United States of America,English
Jupiter Ascending,"Science Fiction, Fantasy, Action, Adventure","jupiter, space, woman director, 3d, interspecies romance",en,United States of America,English
The Legend of Tarzan,"Action, Adventure","africa, feral child, tarzan, jungle, animal attack",en,"Canada, United Kingdom, United States of America",English
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy","saving the world, witch, based on novel, brother sister relationship, self sacrifice, winter, cupboard, beaver, lion, fairy-tale figure, battle, narnia, fantasy world, duringcreditsstinger",en,"United Kingdom, United States of America","English, German"
X-Men: Apocalypse,Science Fiction,"mutant, supernatural powers, marvel comic, superhero, based on comic book, superhuman, apocalypse, superhero team, world domination, aftercreditsstinger, 1980s",en,United States of America,English
The Dark Knight,"Drama, Action, Crime, Thriller","dc comics, crime fighter, secret identity, scarecrow, sadism, chaos, gotham city, vigilante, joker, superhero, based on comic book, tragic hero, organized crime, criminal mastermind, district attorney, imax, super villain, super powers, batman",en,"United Kingdom, United States of America",English
Up,"Animation, Comedy, Family, Adventure","age difference, central and south america, balloon, animation, floating in the air, duringcreditsstinger, exploring",en,United States of America,English
Monsters vs Aliens,"Animation, Family, Adventure, Science Fiction","alien, giant robot, duringcreditsstinger",en,United States of America,English
Iron Man,"Action, Science Fiction, Adventure","middle east, arms dealer, malibu, marvel comic, superhero, based on comic book, tony stark, iron man, aftercreditsstinger, marvel cinematic universe, counter terrorism, agent coulson",en,United States of America,English
Hugo,"Adventure, Drama, Family","library, clock, film director, key, toy, boy, love, orphan, robot, automaton, hiding, filmmaking, leg brace, doberman, 3d",en,"France, United States of America, United Kingdom",English
Wild Wild West,"Action, Adventure, Comedy, Science Fiction, Western","steampunk, based on tv series, steam locomotive, drag",en,United States of America,English
The Mummy: Tomb of the Dragon Emperor,"Adventure, Action, Fantasy",,en,"Germany, United States of America",English
Suicide Squad,"Action, Adventure, Crime, Fantasy, Science Fiction","dc comics, shared universe, anti hero, secret mission, villain, superhero, supervillain, dc extended universe",en,United States of America,English
Evan Almighty,"Fantasy, Comedy, Family",,en,United States of America,English
Edge of Tomorrow,"Action, Science Fiction","deja vu, time warp, restart, dystopia, war, alien, military officer, soldier, alien invasion, exoskeleton",en,"Australia, United States of America",English
Waterworld,"Adventure, Action","ocean, tattoo, mutant, water, dystopia, doomsday",en,United States of America,"English, German, Spanish"
G.I. Joe: The Rise of Cobra,"Adventure, Action, Thriller, Science Fiction","terrorist, secret, hostage, technology, warhead, government, president, revenge, murder, attack, explosion, scientist, lasers, evil, cobra",en,"Czech Republic, United States of America","English, French"
Inside Out,"Drama, Comedy, Animation, Family","dream, cartoon, imaginary friend, animation, family, moving, kids, unicorn, duringcreditsstinger, 3d, emotions",en,United States of America,English
The Jungle Book,"Family, Adventure, Drama, Fantasy","based on novel, snake, wolf, elephant, tiger, feral child, panther, remake, bear, jungle, talking animal, orphan, animal, talking to animals",en,"United Kingdom, United States of America",English
Iron Man 2,"Adventure, Action, Science Fiction","malibu, marvel comic, superhero, based on comic book, revenge, aftercreditsstinger, marvel cinematic universe",en,United States of America,"English, French"
Snow White and the Huntsman,"Adventure, Fantasy, Drama","queen, magic, fairy tale, immortality, forest, deception, woman, eternal youth, snow white, evil queen, evil stepmother, imprisoned, sorceress",en,United States of America,English
Maleficent,"Fantasy, Adventure, Action, Family, Romance","fairy tale, villain, sleeping beauty, dark fantasy, based on fairy tale, adaptation, retelling, literary adaptation, 3d",en,United States of America,English
Dawn of the Planet of the Apes,"Science Fiction, Action, Drama, Thriller","leader, colony, post-apocalyptic, dystopia, forest, sequel, woods, ape, scientist, monkey, medical research, animal attack, plague, 3d",en,United States of America,English
The Lovers,"Action, Adventure, Science Fiction, Romance",,en,"Australia, Belgium, India",English
47 Ronin,"Drama, Action, Adventure, Fantasy","japan, suicide, samurai, based on true story, samurai sword, ronin, shogun, half breed, 3d",en,United States of America,English
Captain America: The Winter Soldier,"Action, Adventure, Science Fiction","washington d.c., future, shield, marvel comic, superhero, based on comic book, captain america, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d, political thriller",en,United States of America,English
Shrek Forever After,"Comedy, Adventure, Fantasy, Animation, Family","ogre, 3d",en,United States of America,English
Tomorrowland,"Adventure, Family, Mystery, Science Fiction","inventor, apocalypse, destiny, imax, dreamer, futuristic car, futuristic city",en,United States of America,English
Big Hero 6,"Adventure, Family, Animation, Action, Comedy","brother brother relationship, hero, talent, revenge, best friend, another dimension, robot, boy genius, hate, aftercreditsstinger, moral dilemma, 3d, teen superheroes, dead brother",en,United States of America,English
Wreck-It Ralph,"Family, Animation, Comedy, Adventure","support group, product placement, bullying, racing, arcade, medal, self esteem, curiosity, precocious child, aftercreditsstinger, duringcreditsstinger, first person shooter, glitch, carefree, video gamer, q*bert, interrupted wedding, social reject",en,United States of America,English
The Polar Express,"Adventure, Animation, Family, Fantasy","santa claus, nerd, faith, gift, bell, beard, north pole, chute, trestle, ticket, christmas",en,United States of America,English
Independence Day: Resurgence,"Action, Adventure, Science Fiction","alternate history, alien invasion",en,United States of America,English
How to Train Your Dragon,"Fantasy, Adventure, Animation, Family","flying, blacksmith, arena, island, night, ship, training, village, forest, viking, friendship, ignorance, flight, nest, dragon, battle, combat, well, warrior",en,United States of America,English
Terminator 3: Rise of the Machines,"Action, Thriller, Science Fiction","saving the world, artificial intelligence, man vs machine, cyborg, killer robot, sun glasses, leather jacket, nanotechnology, rocket launcher, firemen, veterinarian, fire engine, dystopia, psychiatrist",en,"Germany, United Kingdom, United States of America",English
Guardians of the Galaxy,"Action, Science Fiction, Adventure","marvel comic, spaceship, space, outer space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe",en,"United Kingdom, United States of America",English
Interstellar,"Adventure, Drama, Science Fiction","saving the world, artificial intelligence, father son relationship, single parent, nasa, expedition, wormhole, space travel, famine, black hole, dystopia, race against time, quantum mechanics, spaceship, space, rescue, family relationships, farmhouse, robot, astronaut, scientist, father daughter relationship, single father, farmer, space station, imax, astrophysics, zero gravity, courage, time paradox, relativity",en,"Canada, United States of America, United Kingdom",English
Inception,"Action, Thriller, Science Fiction, Mystery, Adventure","loss of lover, dream, kidnapping, sleep, subconsciousness, heist, redemption, female hero",en,"United Kingdom, United States of America","English, French"
Shin Godzilla,"Action, Adventure, Drama, Horror, Science Fiction","monster, godzilla, giant monster, destruction, kaiju, toyko",ja,Japan,"Italiano, German, English"
The Hobbit: An Unexpected Journey,"Adventure, Fantasy, Action","riddle, elves, dwarves, orcs, middle-earth (tolkien), hobbit, mountains, wizard, journey, ring, goblin, courage, giant, tunnel, underground lake, buried treasure, climbing a tree, invisibility, ancient, gnomes",en,"New Zealand, United States of America",English
The Fast and the Furious,"Action, Crime, Thriller","street gang, car race, undercover, auto-tuning, los angeles, car, automobile racing, aftercreditsstinger, duringcreditsstinger",en,"Germany, United States of America",English
The Curious Case of Benjamin Button,"Fantasy, Drama, Thriller, Mystery, Romance","diary, navy, funeral, tea, travel, hospital",en,United States of America,English
X-Men: First Class,"Action, Science Fiction, Adventure","cia, mutant, mine, marvel comic, superhero, based on comic book, superhuman, historical fiction, nuclear war, cuban missile crisis, world war iii, 1960s",en,United States of America,"German, English, Spanish, French"
The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Science Fiction","revolution, strong woman, dystopia, game of death, 3d, based on young adult novel",en,"Germany, United States of America",English
The Sorcerer's Apprentice,"Fantasy, Adventure, Action, Comedy, Drama","witch, fire, wolf, fountain, magic, book, castle, water, apprentice, training, merlin, love, mission, sorcerer, dragon, aftercreditsstinger, apprendista, morgana",en,United States of America,English
Poseidon,"Adventure, Action, Drama, Thriller",,en,United States of America,"English, Spanish"
Alice Through the Looking Glass,Fantasy,"based on novel, clock, queen, sequel, alice in wonderland, dark fantasy, mad hatter, 3d",en,"United Kingdom, United States of America",English
Shrek the Third,"Fantasy, Adventure, Animation, Comedy, Family",,en,United States of America,French
Warcraft,"Action, Adventure, Fantasy","video game, elves, orcs, magic, chase, based on comic book, sorcerer, fictional war, based on video game, wizard, fictional language, muscles, orc, sword and sorcery",en,"Canada, China, Japan, United States of America",English
Terminator Genisys,"Science Fiction, Action, Thriller, Adventure","saving the world, artificial intelligence, cyborg, killer robot, future, time travel, dystopia, sequel, fiction, duringcreditsstinger, 3d",en,United States of America,English
The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure, Family, Fantasy","based on novel, magic, good vs evil, king, narnia, fantasy world, knife held to throat, snowing, quest",en,United States of America,English
Pearl Harbor,"History, Romance, War","nurse, patriotism, hawaii, world war ii, pilot, pearl harbor, u.s. air force, airplane, war, army, love, pin-up",en,United States of America,"French, English"
Transformers,"Adventure, Science Fiction, Action","destroy, transformation, alien, based on toy, transformers, robot, duringcreditsstinger, teenage hero",en,United States of America,"Spanish, English"
Alexander,"War, History, Action, Adventure, Drama, Romance","aristotle, egypt, greece, persia, elephant, campaign, alexander the great, homosexuality, gay relationship, ancient world",en,"France, Germany, Italy, Netherlands, United Kingdom, United States of America",English
Harry Potter and the Order of the Phoenix,"Adventure, Fantasy, Family, Mystery",,en,"United Kingdom, United States of America",English
Harry Potter and the Goblet of Fire,"Adventure, Fantasy, Family",,en,"United Kingdom, United States of America","English, French"
Hancock,"Fantasy, Action",,en,United States of America,English
I Am Legend,"Drama, Horror, Action, Thriller, Science Fiction","saving the world, lost civilisation, post-apocalyptic, dystopia, matter of life and death, alone, helplessness, virus, pandemic",en,United States of America,English
Charlie and the Chocolate Factory,"Adventure, Comedy, Family, Fantasy","london england, father son relationship, chocolate, factory worker, based on novel, parents kids relationship, candy, overweight child, grandfather grandson relationship, teacher",en,"Australia, United Kingdom, United States of America",English
Ratatouille,"Animation, Comedy, Family, Fantasy",,en,United States of America,English
Batman Begins,"Action, Crime, Drama","himalaya, martial arts, dc comics, crime fighter, secret identity, undercover, hero, loss of father, society, gotham city, vigilante, superhero, based on comic book, rivalry, tragic hero, ninja, good vs evil, crime, super powers, haunted by the past, evil doctor, escapade, master villain, fighting crime, unfulfillment, love and romance, unfulfilled love",en,"United Kingdom, United States of America",English
Madagascar: Escape 2 Africa,"Family, Animation","africa, jealousy, dance, hunger, lion, zoo, hippopotamus, chimp, penguin, volcano, madagascar, airplane, zebra, sequel, shark, imax, duringcreditsstinger",en,United States of America,"English, Italiano"
Night at the Museum: Battle of the Smithsonian,"Adventure, Fantasy, Action, Comedy, Family","museum, theodore roosevelt, duringcreditsstinger, amelia earhart, smithsonian",en,"United States of America, Canada",English
X-Men Origins: Wolverine,"Adventure, Action, Thriller, Science Fiction","corruption, mutant, boxer, army, marvel comic, superhero, aftercreditsstinger, duringcreditsstinger",en,United States of America,English
The Matrix Revolutions,"Adventure, Action, Thriller, Science Fiction","saving the world, artificial intelligence, man vs machine, flying, philosophy, fortune teller, kung fu, underground world, killer robot, temple, subway, dream, sun, hero, fight, sunlight, computer virus, key, future, precognition, super computer, machine town, ying yang, dying and death, virtual reality, dystopia, computer, faith, world religion, truth, rescue, mission, cyberpunk, woman director, yin yang, gnosticism",en,"United States of America, Australia","English, French"
Frozen,"Animation, Adventure, Family","queen, musical, princess, betrayal, snowman, animation, reindeer, curse, snow, troll, mountain climber, aftercreditsstinger, woman director, 3d",en,United States of America,English
The Matrix Reloaded,"Adventure, Action, Thriller, Science Fiction","saving the world, artificial intelligence, man vs machine, martial arts, kung fu, underground world, dream, hero, fight, computer virus, key, future, plato, precognition, rave, dying and death, virtual reality, dystopia, computer, faith, world religion, truth, mission, cyberpunk, woman director, gnosticism",en,"Australia, United States of America",English
Thor: The Dark World,"Action, Adventure, Fantasy","marvel comic, superhero, based on comic book, hostile takeover, norse mythology, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d, asgard",en,United States of America,English
Mad Max: Fury Road,"Action, Adventure, Science Fiction, Thriller","future, chase, post-apocalyptic, dystopia, australia, rescue, survival, on the run, convoy, peak oil, dark future",en,"Australia, United States of America",English
Angels & Demons,"Thriller, Mystery","rome, vatican, based on novel, symbolism, christian, illuminati, quantum mechanics, prequel, anti matter, conspiracy, investigator, catholicism, cern",en,"Italy, United States of America","English, Italiano, Latin, French, German"
Thor,"Adventure, Fantasy, Action","new mexico, banishment, shield, marvel comic, hammer, superhero, based on comic book, redemption, norse mythology, aftercreditsstinger, marvel cinematic universe, 3d, asgard, odin, heimdall",en,United States of America,English
Bolt,"Animation, Family, Adventure, Comedy","hamster, kids and family, animal, cat vs dog, duringcreditsstinger, dog cat friendship, animal lead, girl dog relationship",en,United States of America,English
G-Force,"Fantasy, Action, Adventure, Family, Comedy","dyr, duringcreditsstinger",en,United States of America,English
Wrath of the Titans,Adventure,"underworld, hades, mythology, greek mythology, zeus, perseus, gods, ancient greece, based on greek myth, ares, 3d",en,"Spain, United States of America",English
Dark Shadows,"Comedy, Fantasy","witch, imprisonment, vampire, curse, fish out of water, chains, gothic, madness, old house, lost love, angry mob, 18th century, ghost, hidden room, old mansion",en,"Australia, United States of America",English
Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller","london england, spy, austria, villain, sequel, mission, conspiracy, vienna opera, vienna",en,"China, United States of America","German, English, Swedish"
The Wolfman,"Drama, Horror, Thriller","father son relationship, victorian england, remake, rural setting, werewolf",en,United States of America,English
Bee Movie,"Family, Animation, Adventure, Comedy","factory worker, tennis, flower, florist, flower shop, pilot, college, airplane, beehive, court, aftercreditsstinger",en,United States of America,English
Kung Fu Panda 2,"Animation, Family","martial arts, hope, fleet, panda, mission, woman director",en,United States of America,English
The Last Airbender,"Action, Adventure, Family, Fantasy","fire, ice, war ship, prince, kingdom, water, village, arrest, remake, attack, avatar, air, spirit, world, domination, cheering",en,United States of America,English
Mission: Impossible III,"Adventure, Action, Thriller","berlin, cia, vatican, white house, secret identity, secret, explosive, mobile phone, map, traitor, mask, honeymoon, shanghai, pretended murder, secret mission, letter, funeral, covered investigation, to shoot dead, secret agent, video, stamp, hard drive, e-mail, decipherment, suitcase, computer, revenge, murder, mission, hospital, duel, disguise, celebration, good and bad, research laboratory, blast",en,"China, Germany, United States of America","German, English, Italiano, Cesky, ,"
White House Down,"Action, Drama, Thriller","usa president, conspiracy, secret service, the white house",en,United States of America,English
Mars Needs Moms,"Adventure, Animation, Family",,en,United States of America,English
Flushed Away,"Adventure, Animation, Comedy, Family","london england, underworld, return, ship, frog, girlfriend, rubin",en,"United Kingdom, United States of America",English
Pan,"Adventure, Family, Fantasy","flying, magic, fairy tale, peter pan, mermaid, pirate, fantasy world",en,United States of America,English
Mr. Peabody & Sherman,"Animation, Adventure, Family","father son relationship, egypt, intelligence, adoption, time travel, boy, child prodigy, friendship, growing up, children, talking animal, talking dog, dog, first love, ancient egypt, time traveler, duringcreditsstinger, new school, george washington, gags, trouble, time paradox, prodigy",en,United States of America,English
Troy,"Adventure, Drama, War",,en,"United States of America, Malta, United Kingdom",English
Madagascar 3: Europe's Most Wanted,"Animation, Family","madagascar, 3d",en,United States of America,"English, Spanish"
Die Another Day,"Adventure, Action, Thriller","laser, british secret service, secret service agent, space based weapon",en,"United Kingdom, United States of America","English, ,, ,, German, Spanish, Islenska, Italiano"
Ghostbusters,"Action, Fantasy, Comedy","female friendship, ghost hunting, reboot, ghost",en,United States of America,English
Armageddon,"Action, Thriller, Science Fiction, Adventure","saving the world, paris, moon, cataclysm, asteroid, self sacrifice, nasa, space marine, loss of father, daughter, space, wedding, astronaut, eiffel tower paris, duringcreditsstinger, disaster movie, space centre",en,United States of America,English
Men in Black II,"Action, Adventure, Comedy, Science Fiction","saving the world, secret identity, sun glasses, undercover, space marine, illegal immigration, deportation, new identity, flying saucer, light, firearm, alien, fictional government agency",en,United States of America,English
Beowulf,"Adventure, Action, Animation","denmark, nordic mythology, lie, pride and vanity, folk hero, human weakness, viking, alienation, festival hall, sin, royalty, curse, battle, ancient world, adult animation, motion capture",en,United States of America,English
Kung Fu Panda 3,"Action, Adventure, Animation, Comedy, Family","china, martial arts, kung fu, village, panda, sequel, talking animal, anthropomorphism, dragon, ancient china, wuxia, woman director",en,"China, United States of America",English
Mission: Impossible - Ghost Protocol,"Action, Thriller, Adventure","fight, sequel, mission, explosion, broken arm, imax, nuclear threat",en,"Czech Republic, United States of America, United Arab Emirates","English, French, Swedish"
Rise of the Guardians,"Fantasy, Animation, Family","dream, santa claus, nightmare, easter bunny, tooth fairy, jack frost, sandman, duringcreditsstinger",en,United States of America,"French, English"
Fun with Dick and Jane,Comedy,"based on novel, desperation, robber, hold-up robbery, remake, suburbia, loss of job, humiliation, unemployment, bankruptcy, travel agent, riches to rags, bearer bonds, comeuppance",en,United States of America,English
The Last Samurai,"Drama, Action, War, History","japan, war crimes, sense of guilt, swordplay, general, samurai, war veteran, katana, sword, arms deal, homeland, emperor, language barrier, self-discovery, mountain village, foreign legion, mercenary, campaign, commercial agreement, insurgence, leader, war strategy, gettysburg, loss of husband, slaughter, soldier, alcoholic, u.s. soldier, japanese army, 19th century, war trauma",en,"Japan, United States of America, New Zealand",English
